GEOID10,P0010001,District
481872108041024,62,4
481872103005010,9,2
481872103005019,4,2
481872103005032,0,2
481872103003030,0,2
481872108012001,30,5
481872103004024,1,2
481872101003020,20,6
481872101004045,26,5
481872103005008,4,2
481872103004017,0,2
481872103004018,0,2
481872103005047,0,5
481872103005038,14,5
481872103005026,24,5
481872103005039,21,5
481872103004001,25,5
481872101003005,31,6
481872101002023,35,6
481872101003001,20,6
481872104003002,0,6
481872103003035,0,2
481872103003036,0,4
481872105041064,0,8
481872108041000,0,4
481872108031006,0,4
481872109022019,0,7
481872104001001,0,5
481872104001014,73,5
481872104001027,36,5
481872109021039,0,1
481872105041046,0,8
481872105041085,0,4
481872105041062,176,8
481872108011068,43,4
481872105042001,30,7
481872105041041,0,8
481872101003030,20,6
481872101004002,25,6
481872101004022,16,6
481872103005043,20,5
481872101004024,13,6
481872104003023,0,6
481872104002013,18,5
481872104001005,11,5
481872103002001,86,2
481872103002003,11,2
481872108012008,0,1
481872108012002,0,2
481872108031004,0,4
481872108031012,78,4
481872108031005,115,4
481872105042022,6,7
481872101002035,16,6
481872105041025,46,8
481872105042060,24,7
481872105042036,3,7
481872105042032,90,7
481872101003028,16,6
481872101003029,21,6
481872101004020,23,6
481872104002011,21,5
481872104002016,0,5
481872103002034,26,2
481872103004035,27,2
481872103004047,55,2
481872104002027,5,5
481872108012020,57,1
481872108031009,0,4
481872108011030,223,4
481872103005055,19,2
481872108011084,82,1
481872105041080,93,4
481872105041016,54,8
481872104002031,12,5
481872108012014,20,1
481872104002043,0,5
481872104003012,50,6
481872105041022,205,8
481872105041023,108,8
481872109022005,0,7
481872104001015,63,5
481872104001021,28,5
481872104001028,20,5
481872104001018,5,5
481872108041043,0,4
481872108031015,0,4
481872109011041,99,7
481872108012011,15,1
481872104002037,29,5
481872108011090,0,1
481872104003005,49,6
481872104003010,0,6
481872104001012,77,5
481872104001019,6,5
481872109021017,77,5
481872108011056,0,1
481872103001019,59,3
481872108031002,0,4
481872109011176,59,7
481872108012007,74,1
481872108011016,0,4
481872105041006,195,8
481872105041086,0,4
481872103001008,78,4
481872103005012,71,2
481872103003034,0,2
481872105042040,10,7
481872105062049,0,7
481872108011064,26,1
481872102002019,0,2
481872104002029,67,5
481872101001012,69,7
481872102002000,0,2
481872102002001,0,2
481872103002023,92,3
481872105042038,26,7
481872109011183,11,7
481872108011075,342,1
481872101004046,0,5
481872103005001,39,5
481872104002024,9,5
481872104002025,2,5
481872104001002,0,5
481872103002039,15,2
481872103004045,14,2
481872103004043,0,2
