GEOID10	P0010001	P0010002	P0010003	P0010004	P0010005	P0010006	P0010007	P0010008	P0010009	P0010010	P0010011	P0010012	P0010013	P0010014	P0010015	P0010016	P0010017	P0010018	P0010019	P0010020	P0010021	P0010022	P0010023	P0010024	P0010025	P0010026	P0010027	P0010028	P0010029	P0010030	P0010031	P0010032	P0010033	P0010034	P0010035	P0010036	P0010037	P0010038	P0010039	P0010040	P0010041	P0010042	P0010043	P0010044	P0010045	P0010046	P0010047	P0010048	P0010049	P0010050	P0010051	P0010052	P0010053	P0010054	P0010055	P0010056	P0010057	P0010058	P0010059	P0010060	P0010061	P0010062	P0010063	P0010064	P0010065	P0010066	P0010067	P0010068	P0010069	P0010070	P0010071	QGIS_Area	Limit_Area	%_Seguin	Neighbors
481872108041024	62	62	60	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65E-05	1.88E-05	0.2829118394	481872108041031, 481872108041004, 481872108041046, 481872108041045, 481872108041029, 481872108041022
481872103005010	9	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19E-06	1.19E-06	1	481872103005019, 481872102004032, 481872103005009, 481872103005018, 481872103005017, 481872103005011, 481872103005031, 481872102004031
481872103005019	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18E-07	6.18E-07	1	481872103005010, 481872103005008, 481872103005009, 481872103005018, 481872103005017, 481872103005020, 481872103005021
481872103005032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01E-07	6.01E-07	1	481872103005052, 481872103005033, 481872103005017, 481872103005051, 481872103005031, 481872103005030, 481872103005053
481872103003030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63E-06	5.63E-06	1	481872103003035, 481872103003036, 481872108012002, 481872103003034, 481872103003029, 481872108013000, 481872103003021, 481872103003033, 481872103003037, 481872103003031, 481872103003032, 481872108013002, 481872108013004, 481872103004050, 481872108012003, 481872108013003, 481872108013001
481872108012001	30	29	26	0	0	0	1	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33E-05	1.33E-05	1	481872108012008, 481872108012002, 481872108012007, 481872108012006, 481872108012005, 481872108012000, 481872108012004
481872103004024	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.37E-07	6.37E-07	1	481872103004017, 481872103004030, 481872103004015, 481872103004025, 481872103004013, 481872103004016, 481872103004023, 481872103004014
481872101003020	20	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.28E-07	8.28E-07	1	481872101003022, 481872101003019, 481872101003011, 481872101003021, 481872101003010, 481872101003023, 481872101003014
481872101004045	26	23	23	0	0	0	0	0	3	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.65E-06	1.65E-06	1	481872101004046, 481872101004041, 481872101004040, 481872101004044, 481872101004054, 481872101004047, 481872101004053, 481872101004039
481872103005008	4	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72E-07	5.72E-07	0.9999999999	481872103005019, 481872103005009, 481872101004055, 481872103005007, 481872102004030, 481872103005020, 481872102004031
