GEOID10,QGIS_Area,Limit_Area,%_Seguin,D001,D004,D009,D011,Neighbors
481872108041024,6.65E-05,1.88E-05,0.2829118394,62,0,11,0,481872108041031  481872108041004  481872108041046  481872108041045  481872108041029  481872108041022
481872103005010,1.19E-06,1.19E-06,1,9,0,0,0,481872103005019  481872102004032  481872103005009  481872103005018  481872103005017  481872103005011  481872103005031  481872102004031
481872103005019,6.18E-07,6.18E-07,1,4,0,2,1,481872103005010  481872103005008  481872103005009  481872103005018  481872103005017  481872103005020  481872103005021
481872103005032,6.01E-07,6.01E-07,1,0,0,0,0,481872103005052  481872103005033  481872103005017  481872103005051  481872103005031  481872103005030  481872103005053
481872103003030,5.63E-06,5.63E-06,1,0,0,0,0,481872103003035  481872103003036  481872108012002  481872103003034  481872103003029  481872108013000  481872103003021  481872103003033  481872103003037  481872103003031  481872103003032  481872108013002  481872108013004  481872103004050  481872108012003  481872108013003  481872108013001
481872108012001,1.33E-05,1.33E-05,1,31,0,7,0,481872108012008  481872108012002  481872108012007  481872108012006  481872108012005  481872108012000  481872108012004
481872103004024,6.37E-07,6.37E-07,1,1,0,1,0,481872103004017  481872103004030  481872103004015  481872103004025  481872103004013  481872103004016  481872103004023  481872103004014
481872101003020,8.28E-07,8.28E-07,1,20,0,13,0,481872101003022  481872101003019  481872101003011  481872101003021  481872101003010  481872101003023  481872101003014
481872101004045,1.65E-06,1.65E-06,1,30,0,12,1,481872101004046  481872101004041  481872101004040  481872101004044  481872101004054  481872101004047  481872101004053  481872101004039
481872103005008,5.72E-07,5.72E-07,0.9999999999,4,3,0,0,481872103005019  481872103005009  481872101004055  481872103005007  481872102004030  481872103005020  481872102004031
481872103004017,6.10E-07,6.10E-07,0.9999999999,0,0,0,0,481872103004024  481872103004018  481872103004007  481872103004026  481872103004025  481872103004016  481872103004005  481872103004006
481872103004018,6.36E-07,6.36E-07,0.9999999999,0,0,0,0,481872103004017  481872103004026  481872103004025  481872103004019  481872103004005  481872103004027  481872103004004  481872103004006
481872103005047,6.53E-07,6.53E-07,1,0,0,0,0,481872103005038  481872103005037  481872103004005  481872103005046  481872103004004  481872103005036  481872103005048  481872103004003
481872103005038,5.68E-07,5.68E-07,0.9999999999,14,0,13,0,481872103005047  481872103005039  481872103005023  481872103005037  481872103005046  481872103005025  481872103005024
